question_ID,question,context1,context2,answer1,answer2,contradictType,samepassage,merged_context,ref_answer,WikipediaArticleTitle,url
11,What year did Paul Fraisse become a director of the Institute of Psychology of the University of Paris?,"In 1965, Paul Fraisse becomes the Institute of Psychology of the University of Paris director","1952 : Paul Fraisse replaces Henri Piéron with a director board of the Institute of Psychology of the University of Paris including Daniel Lagache (Sorbonne, lettres), Jean Delay (Faculté de médecine), and Pierre-Paul Grassé (Sorbonne, Sciences). 1960 : Daniel Lagache steps back from co-directorship. 1961 : Paul Fraisse becomes the only director of the Institute of Psychology of the University of Paris.",1965,1952,Implicit (reasoning required),Different,"In 1965, Paul Fraisse becomes the Institute of Psychology of the University of Paris director
1952 : Paul Fraisse replaces Henri Piéron with a director board of the Institute of Psychology of the University of Paris including Daniel Lagache (Sorbonne, lettres), Jean Delay (Faculté de médecine), and Pierre-Paul Grassé (Sorbonne, Sciences). 1960 : Daniel Lagache steps back from co-directorship. 1961 : Paul Fraisse becomes the only director of the Institute of Psychology of the University of Paris.",1965|1952,Institute of Psychology of the University of Paris,https://en.wikipedia.org/wiki/Institute_of_Psychology_of_the_University_of_Paris
12,What date was Julian Lewis Jones born?,Julian Lewis Jones (born 21 August 1968,Julian Lewis Jones Born	27 August 1968,August 21st 1968, 27 August 1968,Explicit,Different,"Julian Lewis Jones (born 21 August 1968
Julian Lewis Jones Born	27 August 1968",August 21st 1968| 27 August 1968,Julian Lewis Jones,https://en.wikipedia.org/wiki/Julian_Lewis_Jones
13,When did Liu Zhi die?,"Liu Zhi first fled to British Hong Kong, and later on made a living in Indonesia as a Chinese language teacher. In 1953, he was ordered to return to Kuomingtang-controlled Taiwan as a political adviser to Chiang Kai-shek. He was decorated with the Order of Blue Sky and White Sun. He died in Taiwan in 1972.","Liu Zhi died on the 15 January 1971 (aged 78) in Taichung, Taiwan",Liu Zhi died in 1972.,Liu Zhi died on the 15 January 1971.,Explicit,Different,"Liu Zhi first fled to British Hong Kong, and later on made a living in Indonesia as a Chinese language teacher. In 1953, he was ordered to return to Kuomingtang-controlled Taiwan as a political adviser to Chiang Kai-shek. He was decorated with the Order of Blue Sky and White Sun. He died in Taiwan in 1972.
Liu Zhi died on the 15 January 1971 (aged 78) in Taichung, Taiwan",Liu Zhi died in 1972.|Liu Zhi died on the 15 January 1971.,Liu Zhi (ROC),https://en.wikipedia.org/wiki/Liu_Zhi_(ROC)
14,How is the Loretto Chapel staircase held together?,"The Loretto Chapel staircase lacks the newel or central pole usually used to support and stabilize a spiral staircase, and therefore the means of supporting the weight is not obvious. However, the staircase is supported by its stringers just like a conventional (straight) staircase, although in this case each stringer is twisted into a helix. Observers have also noted that the inside stringer has such a tight radius that it is able to function similarly to a straight center support. According to an analysis by a professional carpenter in Mysterious New Mexico, the assembly of the stringers from overlapping segments joined by wood glue  creates a laminate that is actually stronger than the wood alone. Additionally, the use of wooden pegs rather than nails prevents degradation of the joints due to compression set as the wood swells against the nails due to changes in humidity or temperature","Loretto Chapel is best known for its helix-shaped staircase (nicknamed ""Miraculous Stair""), which rises 20 feet (6.1 m) to the choir loft while making two full turns, all without the support of a newel or central pole. The staircase is built mostly out of wood and is held together by wooden pegs, with no glue, nails or other hardware used. The inner stringer consists of seven wooden segments joined together with pegs, while the longer outer stringer has nine segments. The exact wood used to build the staircase has been confirmed to be a type of spruce which is not native to New Mexico and scientifically not identified anywhere else in the world.",It is held together by overlapping segments joined by wood glue.,"It is held together by wooden pegs, with no glue.",Explicit,Different,"The Loretto Chapel staircase lacks the newel or central pole usually used to support and stabilize a spiral staircase, and therefore the means of supporting the weight is not obvious. However, the staircase is supported by its stringers just like a conventional (straight) staircase, although in this case each stringer is twisted into a helix. Observers have also noted that the inside stringer has such a tight radius that it is able to function similarly to a straight center support. According to an analysis by a professional carpenter in Mysterious New Mexico, the assembly of the stringers from overlapping segments joined by wood glue  creates a laminate that is actually stronger than the wood alone. Additionally, the use of wooden pegs rather than nails prevents degradation of the joints due to compression set as the wood swells against the nails due to changes in humidity or temperature
Loretto Chapel is best known for its helix-shaped staircase (nicknamed ""Miraculous Stair""), which rises 20 feet (6.1 m) to the choir loft while making two full turns, all without the support of a newel or central pole. The staircase is built mostly out of wood and is held together by wooden pegs, with no glue, nails or other hardware used. The inner stringer consists of seven wooden segments joined together with pegs, while the longer outer stringer has nine segments. The exact wood used to build the staircase has been confirmed to be a type of spruce which is not native to New Mexico and scientifically not identified anywhere else in the world.","It is held together by overlapping segments joined by wood glue.|It is held together by wooden pegs, with no glue.",Loretto Chapel,https://en.wikipedia.org/wiki/Loretto_Chapel
15,How many people were survivors of the Pánfilo de Narváez expedition?,"In the spring of 1528, during the Pánfilo de Narváez's 1527 expedition, thirteen of the fifteen survivors decided to leave the Galveston island, abandoning Cabeza de Vaca (because he was sick and unable to travel) and two other members of the expedition. In April 1529, this group, led by Dorantes and Castillo, reached the coast and landed at Matagorda Bay. However, most of the members of this expedition were killed by Native Americans. Only three survived: Dorantes de Carranza, Castillo and Estevanico.","Alonso del Castillo Maldonado (died after 1547) was an early Spanish explorer in the Americas. He was one of the last four survivors of the Pánfilo de Narváez expedition, along with Álvar Núñez Cabeza de Vaca, Andrés Dorantes de Carranza and his African slave Estevanico. ",Three survived.,Four survived.,Explicit,Different,"In the spring of 1528, during the Pánfilo de Narváez's 1527 expedition, thirteen of the fifteen survivors decided to leave the Galveston island, abandoning Cabeza de Vaca (because he was sick and unable to travel) and two other members of the expedition. In April 1529, this group, led by Dorantes and Castillo, reached the coast and landed at Matagorda Bay. However, most of the members of this expedition were killed by Native Americans. Only three survived: Dorantes de Carranza, Castillo and Estevanico.
Alonso del Castillo Maldonado (died after 1547) was an early Spanish explorer in the Americas. He was one of the last four survivors of the Pánfilo de Narváez expedition, along with Álvar Núñez Cabeza de Vaca, Andrés Dorantes de Carranza and his African slave Estevanico. ",Three survived.|Four survived.,Alonso del Castillo Maldonado,https://en.wikipedia.org/wiki/Alonso_del_Castillo_Maldonado
16,How tall is Tyler Mane?,"In 2007, Tayler Mane played Michael Myers in Rob Zombie's remake of Halloween. After winning the role, he noted that he consecutively watched seven of the eight Halloween films (excluding the third because Michael Myers does not appear apart from in an ad for the first movie) to better understand his character. He is the tallest actor (6' 8"") to portray the character",Tayler Mane height is 6 ft 9 in (2.06 m).,6 ft 8 in,6 ft 9 in,Explicit,Different,"In 2007, Tayler Mane played Michael Myers in Rob Zombie's remake of Halloween. After winning the role, he noted that he consecutively watched seven of the eight Halloween films (excluding the third because Michael Myers does not appear apart from in an ad for the first movie) to better understand his character. He is the tallest actor (6' 8"") to portray the character
Tayler Mane height is 6 ft 9 in (2.06 m).",6 ft 8 in|6 ft 9 in,Tyler Mane,https://en.wikipedia.org/wiki/Tyler_Mane
17,What is Heinrich Mark birth name?,"Heinrich Marx (born Herschel HaLevi, Yiddish: הירשל הלוי; 15 April 1777 – 10 May 1838) was a German lawyer who fathered the communist philosopher Karl Marx, as well as seven other children, including Louise Juta.","Heinrich Marx was born in Saarlouis into an Ashkenazi Jewish family with the name Herschel Levi, the son of Rabbi Marx Levi Mordechai ben Samuel HaLevi von Rödelheim (1743–1804) and Eva Lwow (1753–1823)",Herschel HaLevi,Herschel Levi,Explicit,Different,"Heinrich Marx (born Herschel HaLevi, Yiddish: הירשל הלוי; 15 April 1777 – 10 May 1838) was a German lawyer who fathered the communist philosopher Karl Marx, as well as seven other children, including Louise Juta.
Heinrich Marx was born in Saarlouis into an Ashkenazi Jewish family with the name Herschel Levi, the son of Rabbi Marx Levi Mordechai ben Samuel HaLevi von Rödelheim (1743–1804) and Eva Lwow (1753–1823)",Herschel HaLevi|Herschel Levi,Heinrich Marx,https://en.wikipedia.org/wiki/Heinrich_Marx
18,Is sleep is essential for all complex animals?,Sleep in fish is the subject of ongoing scientific research.Typically fish exhibit periods of inactivity but show no significant reactions to deprivation of this condition.,"If sleep were not essential in animals, one would expect to find  - Animal species that do not sleep at all - Animals that do not need recovery sleep after staying awake longer than usual - Animals that suffer no serious consequences as a result of lack of sleep. Hence sleep is essential for all complex animals.","Not for all types of complex animals, typically fish exhibit periods of inactivity but show no significant reactions to deprivation of this condition.","Yes as if sleep were not essential in animals, one would expect to find  - Animal species that do not sleep at all - Animals that do not need recovery sleep after staying awake longer than usual - Animals that suffer no serious consequences as a result of lack of sleep. Hence sleep is essential for all complex animals.",Implicit (reasoning required),Different,"Sleep in fish is the subject of ongoing scientific research.Typically fish exhibit periods of inactivity but show no significant reactions to deprivation of this condition.
If sleep were not essential in animals, one would expect to find  - Animal species that do not sleep at all - Animals that do not need recovery sleep after staying awake longer than usual - Animals that suffer no serious consequences as a result of lack of sleep. Hence sleep is essential for all complex animals.","Not for all types of complex animals, typically fish exhibit periods of inactivity but show no significant reactions to deprivation of this condition.|Yes as if sleep were not essential in animals, one would expect to find  - Animal species that do not sleep at all - Animals that do not need recovery sleep after staying awake longer than usual - Animals that suffer no serious consequences as a result of lack of sleep. Hence sleep is essential for all complex animals.",Sleep in animals,https://en.wikipedia.org/wiki/Sleep_in_animals
19,Who was the manager of St Eunan's GAA in 2017?,The manager of St Eunan's GAA in the period c2014-c.2018 was Maxi Curran.,The managers of St Eunan's GAA in 2017 were Barry Meehan and Eddie Brennan.,The manager of St Eunan's GAA in 2017 was Maxi Curran.,The managers of St Eunan's GAA in 2017 were Barry Meehan and Eddie Brennan.,Explicit,Different,"The manager of St Eunan's GAA in the period c2014-c.2018 was Maxi Curran.
The managers of St Eunan's GAA in 2017 were Barry Meehan and Eddie Brennan.",The manager of St Eunan's GAA in 2017 was Maxi Curran.|The managers of St Eunan's GAA in 2017 were Barry Meehan and Eddie Brennan.,St Eunan's GAA,https://en.wikipedia.org/wiki/St_Eunan's_GAA
20,Was Maria Stevens executed for witchcraft?,Maria Stevens (died after 1707) was an English woman who was executed for witchcraft.,"Maria Stevens was accused of having bewitched an acquaintance, Dorothy Reeves. The trial was held at Taunton Castle. Stevens was acquitted and released after judge and jury failed to believe the evidence given against her.",Maria Stevens was an English woman who was executed for witchcraft.,Maria Stevens was acquitted and released after judge and jury failed to believe the evidence given against her.,Explicit,Different,"Maria Stevens (died after 1707) was an English woman who was executed for witchcraft.
Maria Stevens was accused of having bewitched an acquaintance, Dorothy Reeves. The trial was held at Taunton Castle. Stevens was acquitted and released after judge and jury failed to believe the evidence given against her.",Maria Stevens was an English woman who was executed for witchcraft.|Maria Stevens was acquitted and released after judge and jury failed to believe the evidence given against her.,Maria Stevens,https://en.wikipedia.org/wiki/Maria_Stevens
21,When the first walk of the organization Stop Child Trafficking Now took place?,"The first walk of the Stop Child Trafficking Now organization took place in September 2011 in Augusta, Georgia, United States.","The Stop Child Trafficking Now organization organized annual walks to raise funds and awareness about the issue. In 2009, organizers claimed to have organized walks in 41 cities nationwide and hoped to raise over a million dollars. The group organized a protest at Phillips Square, Montreal, Quebec, Canada in September 2009.",The first walk of the organization Stop Child Trafficking Now took place in September 2011.,"The Stop Child Trafficking Now group organized a protest at Phillips Square, Montreal, Quebec, Canada in September 2009.",Explicit,Different,"The first walk of the Stop Child Trafficking Now organization took place in September 2011 in Augusta, Georgia, United States.
The Stop Child Trafficking Now organization organized annual walks to raise funds and awareness about the issue. In 2009, organizers claimed to have organized walks in 41 cities nationwide and hoped to raise over a million dollars. The group organized a protest at Phillips Square, Montreal, Quebec, Canada in September 2009.","The first walk of the organization Stop Child Trafficking Now took place in September 2011.|The Stop Child Trafficking Now group organized a protest at Phillips Square, Montreal, Quebec, Canada in September 2009.",Stop Child Trafficking Now,https://en.wikipedia.org/wiki/Stop_Child_Trafficking_Now
22,Can any synthetic chord be analyzed in terms of traditional harmonic structures/chords?,"In music theory and harmonic analysis, a synthetic chord is a made-up or non-traditional (synthetic) chord (collection of pitches) which cannot be analyzed in terms of traditional harmonic structures, such as the triad or seventh chord.","Some synthetic chords may be analyzed as traditional chords, including the Prometheus chord, which may be analyzed as an altered dominant chord.",No,Yes,Explicit,Different,"In music theory and harmonic analysis, a synthetic chord is a made-up or non-traditional (synthetic) chord (collection of pitches) which cannot be analyzed in terms of traditional harmonic structures, such as the triad or seventh chord.
Some synthetic chords may be analyzed as traditional chords, including the Prometheus chord, which may be analyzed as an altered dominant chord.",No|Yes,Synthetic chord,https://en.wikipedia.org/wiki/Synthetic_chord
23,"In the 1840s, who built the stockman's hut near the peak of Mount Pleasant?","The first European to farm on the Mount Pleasant was Joseph Greenwood of Purau, who took up land in 1846 and built a stockman's hut near the peak.","Edward Ward, the eldest brother of Crosbie Ward stood by the hut on Mount Pleasant built by Charles Crawford ",Joseph Greenwood,Charles Crawford,Implicit (reasoning required),Different,"The first European to farm on the Mount Pleasant was Joseph Greenwood of Purau, who took up land in 1846 and built a stockman's hut near the peak.
Edward Ward, the eldest brother of Crosbie Ward stood by the hut on Mount Pleasant built by Charles Crawford ",Joseph Greenwood|Charles Crawford,Tauhinukorokio / Mount Pleasant,https://en.wikipedia.org/wiki/Tauhinukorokio_/_Mount_Pleasant
24,"From 1788 until the early 1790s, general city dumas were organized in how many cities of the Tobolsk Viceroyalty?","From 1788 until the early 1790s, general city dumas were organized in nine cities of the Tobolsk Viceroyalty.","Cities of the Tobolsk Viceroyalty in which general city dumas were organized from 1788 until the early 1790s: Tobolsk, Tomsk, Tyumen, Tara, Turukhansk, Yeniseisk, Narym, and Omsk.",Nine,Eight,Implicit (reasoning required),Different,"From 1788 until the early 1790s, general city dumas were organized in nine cities of the Tobolsk Viceroyalty.
Cities of the Tobolsk Viceroyalty in which general city dumas were organized from 1788 until the early 1790s: Tobolsk, Tomsk, Tyumen, Tara, Turukhansk, Yeniseisk, Narym, and Omsk.",Nine|Eight,Tobolsk Viceroyalty,https://en.wikipedia.org/wiki/Tobolsk_Viceroyalty
25,In what year did the Whitehead Torpedo enter service?,The Howell torpedo was the only United States Navy model until Whitehead torpedoes produced by Bliss and Williams entered service in 1894.,"The United States Navy started using the Whitehead torpedo in 1892 after an American company, E.W. Bliss, secured manufacturing rights.",1894,1892 or before,Explicit,Different,"The Howell torpedo was the only United States Navy model until Whitehead torpedoes produced by Bliss and Williams entered service in 1894.
The United States Navy started using the Whitehead torpedo in 1892 after an American company, E.W. Bliss, secured manufacturing rights.",1894|1892 or before,Torpedo,https://en.wikipedia.org/wiki/Torpedo
26,In what year and month did mass production of the Fourth Generation (A80) Toyota Supra begin?,official mass production of the Fourth Generation (A80) Toyota Supra began in April 1993.,Production of the Fourth Generation (A80) Toyota Supra: May 1993 – August 2002,April 1993,May 1993,Explicit,Different,"official mass production of the Fourth Generation (A80) Toyota Supra began in April 1993.
Production of the Fourth Generation (A80) Toyota Supra: May 1993 – August 2002",April 1993|May 1993,Toyota Supra,https://en.wikipedia.org/wiki/Toyota_Supra
27,"Which postage stamp was issued first: ""Two Penny Blue"" or ""Penny Black""?","The Two Penny Blue or The Two Pence Blue was the world's second official postage stamp, produced in the United Kingdom of Great Britain and Ireland and issued after the Penny Black. [...] Initial printing took place from 1 May 1840. [...] Officially the stamps were valid for postage from 6 May.",The Penny Black was the world's first adhesive postage stamp used in a public postal system. It was first issued in the United Kingdom on 1 May 1840 but was not valid for use until 6 May. ,The Penny Black,Same date,Implicit (reasoning required),Different,"The Two Penny Blue or The Two Pence Blue was the world's second official postage stamp, produced in the United Kingdom of Great Britain and Ireland and issued after the Penny Black. [...] Initial printing took place from 1 May 1840. [...] Officially the stamps were valid for postage from 6 May.
The Penny Black was the world's first adhesive postage stamp used in a public postal system. It was first issued in the United Kingdom on 1 May 1840 but was not valid for use until 6 May. ",The Penny Black|Same date,Two penny blue,https://en.wikipedia.org/wiki/Two_penny_blue
29,In which year and month did France defeat the Queen of Waalo?,"In February 1855, General Louis Faidherbe (French general and colonial administrator) departed from Saint-Louis with a force of 450 French soldiers and 400 armed volunteers in order to march on Nder, Waalo's (a Jolof kingdom located in what is now northwest Senegal) capital. On 25 February at the Battle of Dioubouldy, the French defeated the combined Waalo and Trarza (region in what is now southwest Mauritania) armies. The French then entered Nder, which had been deserted by Ndaté Yalla Mbodj and her followers, and burned it down. Maroso Tassé and his warriors still held firm and refused to submit.  Ndaté Yalla Mbodj who was receiving updates still remained defiant.","On 31 January 1855, Faidherbe finally defeated Ndaté Yalla Mbodj and gained control of Waalo.",February 1855,January 1855,Explicit,Different,"In February 1855, General Louis Faidherbe (French general and colonial administrator) departed from Saint-Louis with a force of 450 French soldiers and 400 armed volunteers in order to march on Nder, Waalo's (a Jolof kingdom located in what is now northwest Senegal) capital. On 25 February at the Battle of Dioubouldy, the French defeated the combined Waalo and Trarza (region in what is now southwest Mauritania) armies. The French then entered Nder, which had been deserted by Ndaté Yalla Mbodj and her followers, and burned it down. Maroso Tassé and his warriors still held firm and refused to submit.  Ndaté Yalla Mbodj who was receiving updates still remained defiant.
On 31 January 1855, Faidherbe finally defeated Ndaté Yalla Mbodj and gained control of Waalo.",February 1855|January 1855,Ndaté Yalla Mbodj,https://en.wikipedia.org/wiki/Ndaté_Yalla_Mbodj
